Lambda,Alpha,Delta,PSI,Dose,Size,Number of Fractions,Gamma
0.07,0,0.07,0.8,106.5,7.1,15.0,0.0
0.07,0,0.07,0.8,108.0,7.2,15.0,0.0
0.07,0,0.07,0.8,109.5,7.3,15.0,0.0
0.07,0,0.07,0.8,111.0,7.4,15.0,0.0
0.07,0,0.07,0.8,112.5,7.5,15.0,0.0
0.07,0,0.07,0.8,114.0,7.6,15.0,0.0
0.07,0,0.07,0.8,115.5,7.7,15.0,0.0
0.07,0,0.07,0.8,117.0,7.8,15.0,0.0
0.07,0,0.07,0.8,118.5,7.9,15.0,0.0
0.07,0,0.07,0.8,120.0,8.0,15.0,0.0
0.07,0,0.07,0.82,1.5,0.1,15.0,0.0
0.07,0,0.07,0.82,3.0,0.2,15.0,0.0
0.07,0,0.07,0.82,4.5,0.3,15.0,0.0
0.07,0,0.07,0.82,6.0,0.4,15.0,0.0
0.07,0,0.07,0.82,7.5,0.5,15.0,0.0
0.07,0,0.07,0.82,9.0,0.6,15.0,0.0
0.07,0,0.07,0.82,10.5,0.7,15.000000000000002,0.0
0.07,0,0.07,0.82,12.0,0.8,15.0,0.0
0.07,0,0.07,0.82,13.5,0.9,15.0,0.0
0.07,0,0.07,0.82,15.0,1.0,15.0,0.0
0.07,0,0.07,0.82,16.5,1.1,14.999999999999998,0.0
0.07,0,0.07,0.82,18.0,1.2,15.0,0.0
0.07,0,0.07,0.82,19.5,1.3,15.0,0.0
0.07,0,0.07,0.82,21.0,1.4,15.000000000000002,0.0
0.07,0,0.07,0.82,22.5,1.5,15.0,0.0
0.07,0,0.07,0.82,24.0,1.6,15.0,0.0
0.07,0,0.07,0.82,25.5,1.7,15.0,0.0
0.07,0,0.07,0.82,27.0,1.8,15.0,0.0
0.07,0,0.07,0.82,28.5,1.9,15.0,0.0
0.07,0,0.07,0.82,30.0,2.0,15.0,0.0
0.07,0,0.07,0.82,31.5,2.1,15.0,0.0
0.07,0,0.07,0.82,33.0,2.2,14.999999999999998,0.0
0.07,0,0.07,0.82,34.5,2.3,15.000000000000002,0.0
0.07,0,0.07,0.82,36.0,2.4,15.0,0.0
0.07,0,0.07,0.82,37.5,2.5,15.0,0.0
0.07,0,0.07,0.82,39.0,2.6,15.0,0.0
0.07,0,0.07,0.82,40.5,2.7,14.999999999999998,0.0
0.07,0,0.07,0.82,42.0,2.8,15.000000000000002,0.0
0.07,0,0.07,0.82,43.5,2.9,15.0,0.0
0.07,0,0.07,0.82,45.0,3.0,15.0,0.0
0.07,0,0.07,0.82,46.5,3.1,15.0,0.0
0.07,0,0.07,0.82,48.0,3.2,15.0,0.0
0.07,0,0.07,0.82,49.5,3.3,15.0,0.0
0.07,0,0.07,0.82,51.0,3.4,15.0,0.0
0.07,0,0.07,0.82,52.5,3.5,15.0,0.0
0.07,0,0.07,0.82,54.0,3.6,15.0,0.0
0.07,0,0.07,0.82,55.5,3.7,15.0,0.0
0.07,0,0.07,0.82,57.0,3.8,15.0,0.0
0.07,0,0.07,0.82,58.5,3.9,15.0,0.0
0.07,0,0.07,0.82,60.0,4.0,15.0,0.0
0.07,0,0.07,0.82,61.5,4.1,15.000000000000002,0.0
0.07,0,0.07,0.82,63.0,4.2,15.0,0.0
0.07,0,0.07,0.82,64.5,4.3,15.0,0.0
0.07,0,0.07,0.82,66.0,4.4,14.999999999999998,0.0
0.07,0,0.07,0.82,67.5,4.5,15.0,0.0
0.07,0,0.07,0.82,69.0,4.6,15.000000000000002,0.0
0.07,0,0.07,0.82,70.5,4.7,15.0,0.0
0.07,0,0.07,0.82,72.0,4.8,15.0,0.0
0.07,0,0.07,0.82,73.5,4.9,14.999999999999998,0.0
0.07,0,0.07,0.82,75.0,5.0,15.0,0.0
0.07,0,0.07,0.82,76.5,5.1,15.000000000000002,0.0
0.07,0,0.07,0.82,78.0,5.2,15.0,0.0
0.07,0,0.07,0.82,79.5,5.3,15.0,0.0
0.07,0,0.07,0.82,81.0,5.4,14.999999999999998,0.0
0.07,0,0.07,0.82,82.5,5.5,15.0,0.0
0.07,0,0.07,0.82,84.0,5.6,15.000000000000002,0.0
0.07,0,0.07,0.82,85.5,5.7,15.0,0.0
0.07,0,0.07,0.82,87.0,5.8,15.0,0.0
0.07,0,0.07,0.82,88.5,5.9,14.999999999999998,0.0
0.07,0,0.07,0.82,90.0,6.0,15.0,0.0
0.07,0,0.07,0.82,91.5,6.1,15.0,0.0
0.07,0,0.07,0.82,93.0,6.2,15.0,0.0
0.07,0,0.07,0.82,94.5,6.3,15.0,0.0
0.07,0,0.07,0.82,96.0,6.4,15.0,0.0
0.07,0,0.07,0.82,97.5,6.5,15.0,0.0
0.07,0,0.07,0.82,99.0,6.6,15.0,0.0
0.07,0,0.07,0.82,100.5,6.7,15.0,0.0
0.07,0,0.07,0.82,102.0,6.8,15.0,0.0
0.07,0,0.07,0.82,103.5,6.9,15.0,0.0
0.07,0,0.07,0.82,105.0,7.0,15.0,0.0
0.07,0,0.07,0.82,106.5,7.1,15.0,0.0
0.07,0,0.07,0.82,108.0,7.2,15.0,0.0
0.07,0,0.07,0.82,109.5,7.3,15.0,0.0
0.07,0,0.07,0.82,111.0,7.4,15.0,0.0
0.07,0,0.07,0.82,112.5,7.5,15.0,0.0
0.07,0,0.07,0.82,114.0,7.6,15.0,0.0
0.07,0,0.07,0.82,115.5,7.7,15.0,0.0
0.07,0,0.07,0.82,117.0,7.8,15.0,0.0
0.07,0,0.07,0.82,118.5,7.9,15.0,0.0
0.07,0,0.07,0.82,120.0,8.0,15.0,0.0
0.07,0,0.07,0.84,1.4,0.1,13.999999999999998,0.0
0.07,0,0.07,0.84,2.8,0.2,13.999999999999998,0.0
0.07,0,0.07,0.84,4.2,0.3,14.000000000000002,0.0
0.07,0,0.07,0.84,5.6,0.4,13.999999999999998,0.0
0.07,0,0.07,0.84,7.0,0.5,14.0,0.0
0.07,0,0.07,0.84,8.4,0.6,14.000000000000002,0.0
0.07,0,0.07,0.84,9.8,0.7,14.000000000000002,0.0
0.07,0,0.07,0.84,11.2,0.8,13.999999999999998,0.0
0.07,0,0.07,0.84,12.6,0.9,14.0,0.0
0.07,0,0.07,0.84,14.0,1.0,14.0,0.0
0.07,0,0.07,0.84,15.4,1.1,14.0,0.0
0.07,0,0.07,0.84,16.8,1.2,14.000000000000002,0.0
0.07,0,0.07,0.84,18.2,1.3,13.999999999999998,0.0
0.07,0,0.07,0.84,19.6,1.4,14.000000000000002,0.0
0.07,0,0.07,0.84,21.0,1.5,14.0,0.0
0.07,0,0.07,0.84,22.4,1.6,13.999999999999998,0.0
0.07,0,0.07,0.84,23.8,1.7,14.0,0.0
0.07,0,0.07,0.84,25.2,1.8,14.0,0.0
0.07,0,0.07,0.84,26.6,1.9,14.000000000000002,0.0
0.07,0,0.07,0.84,28.0,2.0,14.0,0.0
0.07,0,0.07,0.84,29.4,2.1,13.999999999999998,0.0
0.07,0,0.07,0.84,30.8,2.2,14.0,0.0
0.07,0,0.07,0.84,32.2,2.3,14.000000000000002,0.0
0.07,0,0.07,0.84,33.6,2.4,14.000000000000002,0.0
0.07,0,0.07,0.84,35.0,2.5,14.0,0.0
0.07,0,0.07,0.84,36.4,2.6,13.999999999999998,0.0
0.07,0,0.07,0.84,37.8,2.7,13.999999999999998,0.0
0.07,0,0.07,0.84,39.2,2.8,14.000000000000002,0.0
0.07,0,0.07,0.84,40.6,2.9,14.000000000000002,0.0
0.07,0,0.07,0.84,42.0,3.0,14.0,0.0
0.07,0,0.07,0.84,43.4,3.1,14.0,0.0
0.07,0,0.07,0.84,44.8,3.2,13.999999999999998,0.0
0.07,0,0.07,0.84,46.2,3.3,14.000000000000002,0.0
0.07,0,0.07,0.84,47.6,3.4,14.0,0.0
0.07,0,0.07,0.84,49.0,3.5,14.0,0.0
0.07,0,0.07,0.84,50.4,3.6,14.0,0.0
0.07,0,0.07,0.84,51.8,3.7,13.999999999999998,0.0
0.07,0,0.07,0.84,53.2,3.8,14.000000000000002,0.0
0.07,0,0.07,0.84,54.6,3.9,14.0,0.0
0.07,0,0.07,0.84,56.0,4.0,14.0,0.0
0.07,0,0.07,0.84,57.4,4.1,14.0,0.0
0.07,0,0.07,0.84,58.8,4.2,13.999999999999998,0.0
0.07,0,0.07,0.84,60.2,4.3,14.000000000000002,0.0
0.07,0,0.07,0.84,61.6,4.4,14.0,0.0
0.07,0,0.07,0.84,63.0,4.5,14.0,0.0
0.07,0,0.07,0.84,64.4,4.6,14.000000000000002,0.0
0.07,0,0.07,0.84,65.8,4.7,13.999999999999998,0.0
0.07,0,0.07,0.84,67.2,4.8,14.000000000000002,0.0
0.07,0,0.07,0.84,68.6,4.9,13.999999999999998,0.0
0.07,0,0.07,0.84,70.0,5.0,14.0,0.0
0.07,0,0.07,0.84,71.4,5.1,14.000000000000002,0.0
0.07,0,0.07,0.84,72.8,5.2,13.999999999999998,0.0
0.07,0,0.07,0.84,74.2,5.3,14.000000000000002,0.0
0.07,0,0.07,0.84,75.6,5.4,13.999999999999998,0.0
0.07,0,0.07,0.84,77.0,5.5,14.0,0.0
0.07,0,0.07,0.84,78.4,5.6,14.000000000000002,0.0
0.07,0,0.07,0.84,79.8,5.7,13.999999999999998,0.0
0.07,0,0.07,0.84,81.2,5.8,14.000000000000002,0.0
0.07,0,0.07,0.84,82.6,5.9,13.999999999999998,0.0
0.07,0,0.07,0.84,84.0,6.0,14.0,0.0
0.07,0,0.07,0.84,85.4,6.1,14.000000000000002,0.0
0.07,0,0.07,0.84,86.8,6.2,14.0,0.0
0.07,0,0.07,0.84,88.2,6.3,14.0,0.0
0.07,0,0.07,0.84,89.6,6.4,13.999999999999998,0.0
0.07,0,0.07,0.84,91.0,6.5,14.0,0.0
0.07,0,0.07,0.84,92.4,6.6,14.000000000000002,0.0
0.07,0,0.07,0.84,93.8,6.7,14.0,0.0
0.07,0,0.07,0.84,95.2,6.8,14.0,0.0
0.07,0,0.07,0.84,96.6,6.9,13.999999999999998,0.0
0.07,0,0.07,0.84,98.0,7.0,14.0,0.0
0.07,0,0.07,0.84,99.4,7.1,14.000000000000002,0.0
0.07,0,0.07,0.84,100.8,7.2,14.0,0.0
0.07,0,0.07,0.84,102.2,7.3,14.0,0.0
0.07,0,0.07,0.84,103.6,7.4,13.999999999999998,0.0
0.07,0,0.07,0.84,105.0,7.5,14.0,0.0
0.07,0,0.07,0.84,106.4,7.6,14.000000000000002,0.0
0.07,0,0.07,0.84,107.8,7.7,14.0,0.0
0.07,0,0.07,0.84,109.2,7.8,14.0,0.0
0.07,0,0.07,0.84,110.6,7.9,13.999999999999998,0.0
0.07,0,0.07,0.84,112.0,8.0,14.0,0.0
0.07,0,0.07,0.84,113.4,8.1,14.000000000000002,0.0
0.07,0,0.07,0.84,114.8,8.2,14.0,0.0
0.07,0,0.07,0.84,116.2,8.3,14.0,0.0
0.07,0,0.07,0.84,117.6,8.4,13.999999999999998,0.0
0.07,0,0.07,0.84,119.0,8.5,14.0,0.0
0.07,0,0.07,0.86,1.4,0.1,13.999999999999998,0.0
0.07,0,0.07,0.86,2.8,0.2,13.999999999999998,0.0
0.07,0,0.07,0.86,4.2,0.3,14.000000000000002,0.0
0.07,0,0.07,0.86,5.6,0.4,13.999999999999998,0.0
0.07,0,0.07,0.86,7.0,0.5,14.0,0.0
0.07,0,0.07,0.86,8.4,0.6,14.000000000000002,0.0
0.07,0,0.07,0.86,9.8,0.7,14.000000000000002,0.0
0.07,0,0.07,0.86,11.2,0.8,13.999999999999998,0.0
0.07,0,0.07,0.86,12.6,0.9,14.0,0.0
0.07,0,0.07,0.86,14.0,1.0,14.0,0.0
0.07,0,0.07,0.86,15.4,1.1,14.0,0.0
0.07,0,0.07,0.86,16.8,1.2,14.000000000000002,0.0
0.07,0,0.07,0.86,18.2,1.3,13.999999999999998,0.0
0.07,0,0.07,0.86,19.6,1.4,14.000000000000002,0.0
0.07,0,0.07,0.86,21.0,1.5,14.0,0.0
0.07,0,0.07,0.86,22.4,1.6,13.999999999999998,0.0
0.07,0,0.07,0.86,23.8,1.7,14.0,0.0
0.07,0,0.07,0.86,25.2,1.8,14.0,0.0
0.07,0,0.07,0.86,26.6,1.9,14.000000000000002,0.0
0.07,0,0.07,0.86,28.0,2.0,14.0,0.0
0.07,0,0.07,0.86,29.4,2.1,13.999999999999998,0.0
0.07,0,0.07,0.86,30.8,2.2,14.0,0.0
0.07,0,0.07,0.86,32.2,2.3,14.000000000000002,0.0
0.07,0,0.07,0.86,33.6,2.4,14.000000000000002,0.0
0.07,0,0.07,0.86,35.0,2.5,14.0,0.0
0.07,0,0.07,0.86,36.4,2.6,13.999999999999998,0.0
0.07,0,0.07,0.86,37.8,2.7,13.999999999999998,0.0
0.07,0,0.07,0.86,39.2,2.8,14.000000000000002,0.0
0.07,0,0.07,0.86,40.6,2.9,14.000000000000002,0.0
0.07,0,0.07,0.86,42.0,3.0,14.0,0.0
0.07,0,0.07,0.86,43.4,3.1,14.0,0.0
0.07,0,0.07,0.86,44.8,3.2,13.999999999999998,0.0
0.07,0,0.07,0.86,46.2,3.3,14.000000000000002,0.0
0.07,0,0.07,0.86,47.6,3.4,14.0,0.0
0.07,0,0.07,0.86,49.0,3.5,14.0,0.0
0.07,0,0.07,0.86,50.4,3.6,14.0,0.0
0.07,0,0.07,0.86,51.8,3.7,13.999999999999998,0.0
0.07,0,0.07,0.86,53.2,3.8,14.000000000000002,0.0
0.07,0,0.07,0.86,54.6,3.9,14.0,0.0
0.07,0,0.07,0.86,56.0,4.0,14.0,0.0
0.07,0,0.07,0.86,57.4,4.1,14.0,0.0
0.07,0,0.07,0.86,58.8,4.2,13.999999999999998,0.0
0.07,0,0.07,0.86,60.2,4.3,14.000000000000002,0.0
0.07,0,0.07,0.86,61.6,4.4,14.0,0.0
0.07,0,0.07,0.86,63.0,4.5,14.0,0.0
0.07,0,0.07,0.86,64.4,4.6,14.000000000000002,0.0
0.07,0,0.07,0.86,65.8,4.7,13.999999999999998,0.0
0.07,0,0.07,0.86,67.2,4.8,14.000000000000002,0.0
0.07,0,0.07,0.86,68.6,4.9,13.999999999999998,0.0
0.07,0,0.07,0.86,70.0,5.0,14.0,0.0
0.07,0,0.07,0.86,71.4,5.1,14.000000000000002,0.0
0.07,0,0.07,0.86,72.8,5.2,13.999999999999998,0.0
0.07,0,0.07,0.86,74.2,5.3,14.000000000000002,0.0
0.07,0,0.07,0.86,75.6,5.4,13.999999999999998,0.0
0.07,0,0.07,0.86,77.0,5.5,14.0,0.0
0.07,0,0.07,0.86,78.4,5.6,14.000000000000002,0.0
0.07,0,0.07,0.86,79.8,5.7,13.999999999999998,0.0
0.07,0,0.07,0.86,81.2,5.8,14.000000000000002,0.0
0.07,0,0.07,0.86,82.6,5.9,13.999999999999998,0.0
0.07,0,0.07,0.86,84.0,6.0,14.0,0.0
0.07,0,0.07,0.86,85.4,6.1,14.000000000000002,0.0
0.07,0,0.07,0.86,86.8,6.2,14.0,0.0
0.07,0,0.07,0.86,88.2,6.3,14.0,0.0
0.07,0,0.07,0.86,89.6,6.4,13.999999999999998,0.0
0.07,0,0.07,0.86,91.0,6.5,14.0,0.0
0.07,0,0.07,0.86,92.4,6.6,14.000000000000002,0.0
0.07,0,0.07,0.86,93.8,6.7,14.0,0.0
0.07,0,0.07,0.86,95.2,6.8,14.0,0.0
0.07,0,0.07,0.86,96.6,6.9,13.999999999999998,0.0
0.07,0,0.07,0.86,98.0,7.0,14.0,0.0
0.07,0,0.07,0.86,99.4,7.1,14.000000000000002,0.0
0.07,0,0.07,0.86,100.8,7.2,14.0,0.0
0.07,0,0.07,0.86,102.2,7.3,14.0,0.0
0.07,0,0.07,0.86,103.6,7.4,13.999999999999998,0.0
0.07,0,0.07,0.86,105.0,7.5,14.0,0.0
0.07,0,0.07,0.86,106.4,7.6,14.000000000000002,0.0
0.07,0,0.07,0.86,107.8,7.7,14.0,0.0
0.07,0,0.07,0.86,109.2,7.8,14.0,0.0
0.07,0,0.07,0.86,110.6,7.9,13.999999999999998,0.0
0.07,0,0.07,0.86,112.0,8.0,14.0,0.0
0.07,0,0.07,0.86,113.4,8.1,14.000000000000002,0.0
0.07,0,0.07,0.86,114.8,8.2,14.0,0.0
0.07,0,0.07,0.86,116.2,8.3,14.0,0.0
0.07,0,0.07,0.86,117.6,8.4,13.999999999999998,0.0
0.07,0,0.07,0.86,119.0,8.5,14.0,0.0
0.07,0,0.07,0.88,1.3,0.1,13.0,0.0
0.07,0,0.07,0.88,2.6,0.2,13.0,0.0
0.07,0,0.07,0.88,3.9,0.3,13.0,0.0
0.07,0,0.07,0.88,5.2,0.4,13.0,0.0
0.07,0,0.07,0.88,6.5,0.5,13.0,0.0
0.07,0,0.07,0.88,7.8,0.6,13.0,0.0
0.07,0,0.07,0.88,9.1,0.7,13.0,0.0
0.07,0,0.07,0.88,10.4,0.8,13.0,0.0
0.07,0,0.07,0.88,11.7,0.9,12.999999999999998,0.0
0.07,0,0.07,0.88,13.0,1.0,13.0,0.0
0.07,0,0.07,0.88,14.3,1.1,13.0,0.0
0.07,0,0.07,0.88,15.6,1.2,13.0,0.0
0.07,0,0.07,0.88,16.9,1.3,12.999999999999998,0.0
0.07,0,0.07,0.88,18.2,1.4,13.0,0.0
0.07,0,0.07,0.88,19.5,1.5,13.0,0.0
0.07,0,0.07,0.88,20.8,1.6,13.0,0.0
0.07,0,0.07,0.88,22.1,1.7,13.000000000000002,0.0
0.07,0,0.07,0.88,23.4,1.8,12.999999999999998,0.0
0.07,0,0.07,0.88,24.7,1.9,13.0,0.0
0.07,0,0.07,0.88,26.0,2.0,13.0,0.0
0.07,0,0.07,0.88,27.3,2.1,13.0,0.0
0.07,0,0.07,0.88,28.6,2.2,13.0,0.0
0.07,0,0.07,0.88,29.9,2.3,13.0,0.0
0.07,0,0.07,0.88,31.2,2.4,13.0,0.0
0.07,0,0.07,0.88,32.5,2.5,13.0,0.0
0.07,0,0.07,0.88,33.8,2.6,12.999999999999998,0.0
0.07,0,0.07,0.88,35.1,2.7,13.0,0.0
0.07,0,0.07,0.88,36.4,2.8,13.0,0.0
0.07,0,0.07,0.88,37.7,2.9,13.000000000000002,0.0
0.07,0,0.07,0.88,39.0,3.0,13.0,0.0
0.07,0,0.07,0.88,40.3,3.1,12.999999999999998,0.0
0.07,0,0.07,0.88,41.6,3.2,13.0,0.0
0.07,0,0.07,0.88,42.9,3.3,13.0,0.0
0.07,0,0.07,0.88,44.2,3.4,13.000000000000002,0.0
0.07,0,0.07,0.88,45.5,3.5,13.0,0.0
0.07,0,0.07,0.88,46.8,3.6,12.999999999999998,0.0
0.07,0,0.07,0.88,48.1,3.7,13.0,0.0
0.07,0,0.07,0.88,49.4,3.8,13.0,0.0
0.07,0,0.07,0.88,50.7,3.9,13.000000000000002,0.0
0.07,0,0.07,0.88,52.0,4.0,13.0,0.0
0.07,0,0.07,0.88,53.3,4.1,13.0,0.0
0.07,0,0.07,0.88,54.6,4.2,13.0,0.0
0.07,0,0.07,0.88,55.9,4.3,13.0,0.0
0.07,0,0.07,0.88,57.2,4.4,13.0,0.0
0.07,0,0.07,0.88,58.5,4.5,13.0,0.0
0.07,0,0.07,0.88,59.8,4.6,13.0,0.0
0.07,0,0.07,0.88,61.1,4.7,13.0,0.0
0.07,0,0.07,0.88,62.4,4.8,13.0,0.0
0.07,0,0.07,0.88,63.7,4.9,13.0,0.0
0.07,0,0.07,0.88,65.0,5.0,13.0,0.0
0.07,0,0.07,0.88,66.3,5.1,13.0,0.0
0.07,0,0.07,0.88,67.6,5.2,12.999999999999998,0.0
0.07,0,0.07,0.88,68.9,5.3,13.000000000000002,0.0
0.07,0,0.07,0.88,70.2,5.4,13.0,0.0
0.07,0,0.07,0.88,71.5,5.5,13.0,0.0
0.07,0,0.07,0.88,72.8,5.6,13.0,0.0
0.07,0,0.07,0.88,74.1,5.7,12.999999999999998,0.0
0.07,0,0.07,0.88,75.4,5.8,13.000000000000002,0.0
0.07,0,0.07,0.88,76.7,5.9,13.0,0.0
0.07,0,0.07,0.88,78.0,6.0,13.0,0.0
0.07,0,0.07,0.88,79.3,6.1,13.0,0.0
0.07,0,0.07,0.88,80.6,6.2,12.999999999999998,0.0
0.07,0,0.07,0.88,81.9,6.3,13.000000000000002,0.0
0.07,0,0.07,0.88,83.2,6.4,13.0,0.0
0.07,0,0.07,0.88,84.5,6.5,13.0,0.0
0.07,0,0.07,0.88,85.8,6.6,13.0,0.0
0.07,0,0.07,0.88,87.1,6.7,12.999999999999998,0.0
0.07,0,0.07,0.88,88.4,6.8,13.000000000000002,0.0
0.07,0,0.07,0.88,89.7,6.9,13.0,0.0
0.07,0,0.07,0.88,91.0,7.0,13.0,0.0
0.07,0,0.07,0.88,92.3,7.1,13.0,0.0
0.07,0,0.07,0.88,93.6,7.2,12.999999999999998,0.0
0.07,0,0.07,0.88,94.9,7.3,13.000000000000002,0.0
0.07,0,0.07,0.88,96.2,7.4,13.0,0.0
0.07,0,0.07,0.88,97.5,7.5,13.0,0.0
0.07,0,0.07,0.88,98.8,7.6,13.0,0.0
0.07,0,0.07,0.88,100.1,7.7,12.999999999999998,0.0
0.07,0,0.07,0.88,101.4,7.8,13.000000000000002,0.0
0.07,0,0.07,0.88,102.7,7.9,13.0,0.0
0.07,0,0.07,0.88,104.0,8.0,13.0,0.0
0.07,0,0.07,0.88,105.3,8.1,13.0,0.0
0.07,0,0.07,0.88,106.6,8.2,13.0,0.0
0.07,0,0.07,0.88,107.9,8.3,13.0,0.0
0.07,0,0.07,0.88,109.2,8.4,13.0,0.0
0.07,0,0.07,0.88,110.5,8.5,13.0,0.0
0.07,0,0.07,0.88,111.8,8.6,13.0,0.0
0.07,0,0.07,0.88,113.1,8.7,13.0,0.0
0.07,0,0.07,0.88,114.4,8.8,13.0,0.0
0.07,0,0.07,0.88,115.7,8.9,13.0,0.0
0.07,0,0.07,0.88,117.0,9.0,13.0,0.0
0.07,0,0.07,0.88,118.3,9.1,13.0,0.0
0.07,0,0.07,0.88,119.6,9.2,13.0,0.0
0.07,0,0.07,0.9,1.3,0.1,13.0,0.0
0.07,0,0.07,0.9,2.6,0.2,13.0,0.0
0.07,0,0.07,0.9,3.9,0.3,13.0,0.0
0.07,0,0.07,0.9,5.2,0.4,13.0,0.0
0.07,0,0.07,0.9,6.5,0.5,13.0,0.0
0.07,0,0.07,0.9,7.8,0.6,13.0,0.0
0.07,0,0.07,0.9,9.1,0.7,13.0,0.0
0.07,0,0.07,0.9,10.4,0.8,13.0,0.0
0.07,0,0.07,0.9,11.7,0.9,12.999999999999998,0.0
0.07,0,0.07,0.9,13.0,1.0,13.0,0.0
0.07,0,0.07,0.9,14.3,1.1,13.0,0.0
0.07,0,0.07,0.9,15.6,1.2,13.0,0.0
0.07,0,0.07,0.9,16.9,1.3,12.999999999999998,0.0
0.07,0,0.07,0.9,18.2,1.4,13.0,0.0
0.07,0,0.07,0.9,19.5,1.5,13.0,0.0
0.07,0,0.07,0.9,20.8,1.6,13.0,0.0
0.07,0,0.07,0.9,22.1,1.7,13.000000000000002,0.0
0.07,0,0.07,0.9,23.4,1.8,12.999999999999998,0.0
0.07,0,0.07,0.9,24.7,1.9,13.0,0.0
0.07,0,0.07,0.9,26.0,2.0,13.0,0.0
0.07,0,0.07,0.9,27.3,2.1,13.0,0.0
0.07,0,0.07,0.9,28.6,2.2,13.0,0.0
0.07,0,0.07,0.9,29.9,2.3,13.0,0.0
0.07,0,0.07,0.9,31.2,2.4,13.0,0.0
0.07,0,0.07,0.9,32.5,2.5,13.0,0.0
0.07,0,0.07,0.9,33.8,2.6,12.999999999999998,0.0
0.07,0,0.07,0.9,35.1,2.7,13.0,0.0
0.07,0,0.07,0.9,36.4,2.8,13.0,0.0
0.07,0,0.07,0.9,37.7,2.9,13.000000000000002,0.0
0.07,0,0.07,0.9,39.0,3.0,13.0,0.0
0.07,0,0.07,0.9,40.3,3.1,12.999999999999998,0.0
0.07,0,0.07,0.9,41.6,3.2,13.0,0.0
0.07,0,0.07,0.9,42.9,3.3,13.0,0.0
0.07,0,0.07,0.9,44.2,3.4,13.000000000000002,0.0
0.07,0,0.07,0.9,45.5,3.5,13.0,0.0
0.07,0,0.07,0.9,46.8,3.6,12.999999999999998,0.0
0.07,0,0.07,0.9,48.1,3.7,13.0,0.0
0.07,0,0.07,0.9,49.4,3.8,13.0,0.0
0.07,0,0.07,0.9,50.7,3.9,13.000000000000002,0.0
0.07,0,0.07,0.9,52.0,4.0,13.0,0.0
0.07,0,0.07,0.9,53.3,4.1,13.0,0.0
0.07,0,0.07,0.9,54.6,4.2,13.0,0.0
0.07,0,0.07,0.9,55.9,4.3,13.0,0.0
0.07,0,0.07,0.9,57.2,4.4,13.0,0.0
0.07,0,0.07,0.9,58.5,4.5,13.0,0.0
0.07,0,0.07,0.9,59.8,4.6,13.0,0.0
0.07,0,0.07,0.9,61.1,4.7,13.0,0.0
0.07,0,0.07,0.9,62.4,4.8,13.0,0.0
0.07,0,0.07,0.9,63.7,4.9,13.0,0.0
0.07,0,0.07,0.9,65.0,5.0,13.0,0.0
0.07,0,0.07,0.9,66.3,5.1,13.0,0.0
0.07,0,0.07,0.9,67.6,5.2,12.999999999999998,0.0
0.07,0,0.07,0.9,68.9,5.3,13.000000000000002,0.0
0.07,0,0.07,0.9,70.2,5.4,13.0,0.0
0.07,0,0.07,0.9,71.5,5.5,13.0,0.0
0.07,0,0.07,0.9,72.8,5.6,13.0,0.0
0.07,0,0.07,0.9,74.1,5.7,12.999999999999998,0.0
0.07,0,0.07,0.9,75.4,5.8,13.000000000000002,0.0
0.07,0,0.07,0.9,76.7,5.9,13.0,0.0
0.07,0,0.07,0.9,78.0,6.0,13.0,0.0
0.07,0,0.07,0.9,79.3,6.1,13.0,0.0
0.07,0,0.07,0.9,80.6,6.2,12.999999999999998,0.0
0.07,0,0.07,0.9,81.9,6.3,13.000000000000002,0.0
0.07,0,0.07,0.9,83.2,6.4,13.0,0.0
0.07,0,0.07,0.9,84.5,6.5,13.0,0.0
0.07,0,0.07,0.9,85.8,6.6,13.0,0.0
0.07,0,0.07,0.9,87.1,6.7,12.999999999999998,0.0
0.07,0,0.07,0.9,88.4,6.8,13.000000000000002,0.0
0.07,0,0.07,0.9,89.7,6.9,13.0,0.0
0.07,0,0.07,0.9,91.0,7.0,13.0,0.0
0.07,0,0.07,0.9,92.3,7.1,13.0,0.0
0.07,0,0.07,0.9,93.6,7.2,12.999999999999998,0.0
0.07,0,0.07,0.9,94.9,7.3,13.000000000000002,0.0
0.07,0,0.07,0.9,96.2,7.4,13.0,0.0
0.07,0,0.07,0.9,97.5,7.5,13.0,0.0
0.07,0,0.07,0.9,98.8,7.6,13.0,0.0
0.07,0,0.07,0.9,100.1,7.7,12.999999999999998,0.0
0.07,0,0.07,0.9,101.4,7.8,13.000000000000002,0.0
0.07,0,0.07,0.9,102.7,7.9,13.0,0.0
0.07,0,0.07,0.9,104.0,8.0,13.0,0.0
0.07,0,0.07,0.9,105.3,8.1,13.0,0.0
0.07,0,0.07,0.9,106.6,8.2,13.0,0.0
0.07,0,0.07,0.9,107.9,8.3,13.0,0.0
0.07,0,0.07,0.9,109.2,8.4,13.0,0.0
0.07,0,0.07,0.9,110.5,8.5,13.0,0.0
0.07,0,0.07,0.9,111.8,8.6,13.0,0.0
0.07,0,0.07,0.9,113.1,8.7,13.0,0.0
0.07,0,0.07,0.9,114.4,8.8,13.0,0.0
0.07,0,0.07,0.9,115.7,8.9,13.0,0.0
0.07,0,0.07,0.9,117.0,9.0,13.0,0.0
0.07,0,0.07,0.9,118.3,9.1,13.0,0.0
0.07,0,0.07,0.9,119.6,9.2,13.0,0.0
0.07,0,0.07,0.92,1.3,0.1,13.0,0.0
